Synopsis,Genre,Movie
"Based on the autobiographical musical by playwright Jonathan Larson. It's the story of an aspiring composer in New York City who is worried he made the wrong career choice, whilst navigating the pressures of love and friendship.","Musical, Drama, Biographical",Tick Tick Boom
"Viola Johnson (Amanda Bynes) is in a real jam. Complications threaten her scheme to pose as her twin brother, Sebastian, and take his place at a new boarding school. She falls in love with her handsome roommate, Duke, who loves beautiful Olivia, who has fallen for Sebastian! As if that were not enough, Viola's twin returns from London ahead of schedule but has no idea that his sister has already replaced him on campus.","Romance, Comedy",She's The Man
"Andy Dufresne (Tim Robbins) is sentenced to two consecutive life terms in prison for the murders of his wife and her lover and is sentenced to a tough prison. However, only Andy knows he didn't commit the crimes. While there, he forms a friendship with Red (Morgan Freeman), experiences brutality of prison life, adapts, helps the warden, etc., all in 19 years.","Drama, Feel-Good",The Shawshank Redemption
"Imprisoned on the other side of the universe, the mighty Thor finds himself in a deadly gladiatorial contest that pits him against the Hulk, his former ally and fellow Avenger. Thor's quest for survival leads him in a race against time to prevent the all-powerful Hela from destroying his home world and the Asgardian civilization.","Action, Sci-fi, Comedy, Adventure",Thor: Ragnarok
"The circumstances surrounding the death of crime novelist Harlan Thrombey are mysterious, but there's one thing that renowned Detective Benoit Blanc knows for sure -- everyone in the wildly dysfunctional Thrombey family is a suspect. Now, Blanc must sift through a web of lies and red herrings to uncover the truth.","Mystery, Crime, Comedy",Knives Out
"In college, Farhan and Raju form a great bond with Rancho due to his positive and refreshing outlook to life. Years later, a bet gives them a chance to look for their long-lost friend whose existence seems rather elusive.","Comedy, Feel-good, Drama",3 Idiots
"In the years after the Civil War, Jo March lives in New York and makes her living as a writer, while her sister Amy studies painting in Paris. Amy has a chance encounter with Theodore, a childhood crush who proposed to Jo but was ultimately rejected. Their oldest sibling, Meg, is married to a schoolteacher, while shy sister Beth develops a devastating illness that brings the family back together.","Drama, Romance, Family",Little Women
"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence, only those who can conquer their own fear will survive.","Action, Adventure, Sci-Fi",Dune
"The implausible escape of a brilliant murderess brings U.S. Marshal Teddy Daniels (Leonardo DiCaprio) and his new partner (Mark Ruffalo) to Ashecliffe Hospital, a fortress-like insane asylum located on a remote, windswept island. The woman appears to have vanished from a locked room, and there are hints of terrible deeds committed within the hospital walls. As the investigation deepens, Teddy realizes he will have to confront his own dark fears if he hopes to make it off the island alive.","Thriller, Mystery",Shutter Island
"Sophie (Emily Mortimer) has an uneventful life at her late father's hat shop, but all that changes when she befriends wizard Howl (Christian Bale), who lives in a magical flying castle. However, the evil Witch of Waste (Lauren Bacall) takes issue with their budding relationship and casts a spell on young Sophie, which ages her prematurely. Now Howl must use all his magical talents to battle the jealous hag and return Sophie to her former youth and beauty.","Romance, Adventure, Animation",Howl's Moving Castle
"A boy is wrongfully sent to a brutal camp, where the camp warden and her staff force the children in their care to mysteriously dig holes all day long in the desert. Their rehabilitation is questioned, as they think something sinister is involved.","Drama, Feel-Good, Adventure",Holes
"Sam (Hilary Duff), a teenager in California, is obliged to work as a janitor and dishwasher in the diner of her stepmother (Jennifer Coolidge). After a cell phone mix-up, Sam begins an anonymous text-messaging and e-mail relationship with a boy. They agree to meet at a school dance, but when Sam finds out that her secret pen pal is none other than Austin Ames (Chad Michael Murray), the cutest boy in school, she panics and looks for a way to make herself cooler.","Comedy, Romance, Family",A Cinderella Story
"When she was young, Ja-yoon escaped from a government facility, but lost all her memory. 10 years later, when she appears on a nationally televised competition to win money for her family, her life is turned upside down by faces from her past.","Action, Thriller",The Witch: Subversion
"In 1980, a foreign journalist hires a down-on-his-luck taxi driver to take him to Gwangju, South Korea. They soon arrive to find a city under siege by student protesters and the military.","Drama, Historical",A Taxi Driver
"In this animated feature by noted Japanese director Hayao Miyazaki, 10-year-old Chihiro (Rumi Hiiragi) and her parents (Takashi Naitô, Yasuko Sawaguchi) stumble upon a seemingly abandoned amusement park. After her mother and father are turned into giant pigs, Chihiro meets the mysterious Haku (Miyu Irino), who explains that the park is a resort for supernatural beings who need a break from their time spent in the earthly realm, and that she must work there to free herself and her parents.","Coming of Age, Adventure, Animation",Spirited Away